iter	RMSE
0	0.3983854746
1	0.3906345351
2	0.3825549516
3	0.3754755557
4	0.3686794741
5	0.3619668176
6	0.3552874738
7	0.348446577
8	0.3422086714
9	0.3359817413
10	0.3300893903
11	0.3237295824
12	0.3180823806
13	0.3127998677
14	0.3078507542
15	0.3028984261
16	0.2984498723
17	0.2941045336
18	0.2895949113
19	0.2851792925
20	0.2806505707
21	0.2764940935
22	0.2722105946
23	0.2679109135
24	0.2643152633
25	0.2604722212
26	0.2568307058
27	0.2529874424
28	0.2497302617
29	0.2466994584
30	0.2433209662
31	0.2397821858
32	0.2366559344
33	0.2336522377
34	0.2305065003
35	0.2273163079
36	0.2245330187
37	0.2218298845
38	0.2193071115
39	0.2165741691
40	0.2145172747
41	0.2122476082
42	0.209857153
43	0.2078948335
44	0.2055759899
45	0.2035152151
46	0.2014208219
47	0.1991909487
48	0.1973750493
49	0.1953419554
50	0.1931936544
51	0.1912985306
52	0.1895874067
53	0.1877613147
54	0.1859140993
55	0.1841538211
56	0.1825673466
57	0.1810104434
58	0.1794044339
59	0.1779241021
60	0.176365057
61	0.1749007628
62	0.173163428
63	0.1716502118
64	0.1702087362
65	0.1686905059
66	0.1673897773
67	0.166254465
68	0.1648328574
69	0.1636668715
70	0.1625734719
71	0.1611951372
72	0.1600594076
73	0.1589027113
74	0.1578876745
75	0.156805071
76	0.155701798
77	0.1547260167
78	0.1537439197
79	0.1527329622
80	0.1517267794
81	0.1506613379
82	0.14980181
83	0.1490359063
84	0.1482182992
85	0.1475637299
86	0.1468898283
87	0.1462275124
88	0.1455586789
89	0.1448392046
90	0.1441625972
91	0.1433199507
92	0.1425784574
93	0.1418283483
94	0.141218233
95	0.1405610969
96	0.1398949126
97	0.13923324
98	0.1383982181
99	0.1378877344
100	0.137182072
101	0.1365238133
102	0.1358646555
103	0.135248233
104	0.1345982009
105	0.1342884043
106	0.1338223253
107	0.1333415974
108	0.1328551713
109	0.1323338228
110	0.1318514276
111	0.1312734861
112	0.130762269
113	0.1303337345
114	0.1298634898
115	0.1293739176
116	0.1290489096
117	0.1286855363
118	0.128289764
119	0.1277754334
120	0.1272834778
121	0.1268314863
122	0.1264615399
123	0.1259179866
124	0.1255811901
125	0.1252597272
126	0.1249322662
127	0.12465934
128	0.12432483
129	0.124038234
130	0.123644363
131	0.1233035209
132	0.122911966
133	0.1225381525
134	0.1221780406
135	0.1218424463
136	0.1215275437
137	0.1211705698
138	0.1208461075
139	0.1206054452
140	0.1203571568
141	0.1200609827
142	0.1198082601
143	0.1195498644
144	0.119199706
145	0.1189648163
146	0.1186586957
147	0.1182903702
148	0.1180857294
149	0.1179371721
150	0.1177269225
151	0.1173481894
152	0.1170677089
153	0.1168358919
154	0.1165381419
155	0.1163865154
156	0.1161635415
157	0.115935149
