iter	Passed	Remaining
0	13	136327
1	29	145114
2	45	152285
3	61	152880
4	77	154127
5	91	152964
6	105	151011
7	132	164901
8	146	162963
9	161	161107
10	176	160110
11	191	159009
12	205	157680
13	219	156741
14	235	156732
15	250	156538
16	262	154437
17	274	152091
18	288	151401
19	303	151225
20	317	150849
21	334	151521
22	350	151944
23	365	151904
24	382	152673
25	399	153086
26	414	153178
27	429	152987
28	444	152720
29	460	152956
30	474	152679
31	513	160067
32	532	160876
33	548	160727
34	563	160459
35	577	159962
36	593	159807
37	608	159614
38	625	159637
39	640	159550
40	656	159467
41	671	159209
42	686	159000
43	702	158858
44	718	158855
45	733	158807
46	749	158621
47	764	158569
48	779	158310
49	794	158066
50	809	157937
51	825	157865
52	841	157850
53	856	157741
54	870	157397
55	884	157077
56	900	157032
57	915	156939
58	929	156673
59	945	156627
60	961	156688
61	977	156690
62	993	156710
63	1009	156746
64	1025	156816
65	1041	156817
66	1057	156786
67	1073	156823
68	1090	156960
69	1107	157140
70	1124	157299
71	1141	157395
72	1156	157280
73	1172	157331
74	1189	157409
75	1205	157463
76	1220	157259
77	1235	157178
78	1252	157261
79	1266	157102
80	1281	156954
81	1296	156858
82	1312	156793
83	1327	156744
84	1343	156717
85	1359	156745
86	1376	156874
87	1394	157016
88	1411	157187
89	1426	157106
90	1442	157118
91	1458	157105
92	1478	157461
93	1495	157576
94	1512	157653
95	1527	157623
96	1543	157541
97	1557	157400
98	1572	157273
99	1587	157137
100	1602	157095
101	1617	156974
102	1634	157050
103	1651	157175
104	1667	157130
105	1675	156372
106	1688	156155
107	1704	156107
108	1719	156065
109	1735	156058
110	1752	156119
111	1768	156125
112	1783	156025
113	1797	155880
114	1812	155791
115	1828	155759
116	1844	155799
117	1861	155928
118	1878	155967
119	1893	155937
120	1909	155932
121	1925	155904
122	1941	155881
123	1957	155929
124	1974	155978
125	1989	155946
126	2007	156066
127	2023	156066
128	2040	156121
129	2056	156124
130	2073	156202
131	2090	156295
132	2106	156286
133	2123	156321
134	2138	156277
135	2155	156323
136	2171	156365
137	2187	156329
138	2202	156250
139	2219	156288
140	2236	156401
141	2251	156338
142	2265	156179
143	2280	156055
144	2295	156021
145	2312	156076
146	2329	156121
147	2346	156170
148	2362	156177
149	2379	156225
150	2391	155971
151	2406	155927
152	2423	155964
153	2439	155969
154	2455	155992
155	2473	156067
156	2490	156113
157	2506	156161
158	2535	156915
159	2551	156901
160	2567	156887
161	2582	156807
162	2597	156786
163	2614	156777
164	2630	156790
165	2646	156800
166	2659	156594
167	2674	156511
168	2690	156520
169	2705	156463
170	2721	156432
171	2736	156377
172	2751	156266
173	2778	156931
174	2796	157029
175	2812	157010
176	2829	157039
177	2845	157028
178	2862	157066
179	2879	157067
180	2884	156499
181	2898	156339
182	2914	156335
183	2929	156287
184	2947	156364
185	2965	156453
186	2982	156523
187	2998	156518
188	3013	156456
189	3030	156452
190	3045	156420
191	3060	156334
192	3077	156369
193	3093	156350
194	3109	156337
195	3125	156357
196	3141	156321
197	3156	156282
198	3172	156236
199	3186	156161
200	3196	155845
201	3210	155714
202	3222	155508
203	3237	155453
204	3252	155400
205	3267	155361
206	3284	155365
207	3300	155375
208	3315	155319
209	3330	155256
210	3345	155221
211	3362	155259
212	3378	155213
213	3394	155234
214	3411	155248
215	3426	155202
216	3442	155190
217	3459	155220
218	3475	155208
219	3492	155252
220	3510	155336
221	3526	155340
222	3543	155346
223	3558	155309
224	3570	155106
225	3585	155051
226	3601	155067
227	3618	155086
228	3634	155079
229	3651	155114
230	3668	155137
231	3684	155129
232	3701	155153
233	3720	155280
234	3737	155291
235	3754	155319
236	3769	155281
237	3785	155267
238	3800	155227
239	3815	155179
240	3832	155177
241	3850	155256
242	3866	155260
243	3874	154933
244	3889	154859
245	3906	154892
246	3925	155010
247	3941	154980
248	3957	154986
249	3974	155006
250	3989	154967
251	4005	154952
252	4013	154621
253	4027	154517
254	4041	154448
255	4058	154467
256	4074	154469
257	4091	154488
258	4107	154467
259	4123	154490
260	4139	154447
261	4154	154416
262	4170	154385
263	4185	154352
264	4200	154295
265	4216	154287
266	4231	154268
267	4246	154220
268	4261	154175
269	4277	154163
270	4293	154138
271	4308	154099
272	4325	154106
273	4340	154088
274	4357	154099
275	4373	154098
276	4390	154095
277	4405	154070
278	4420	154026
279	4436	154002
280	4454	154060
281	4468	154003
282	4485	153997
283	4501	153991
284	4517	153986
285	4532	153950
286	4546	153874
287	4561	153809
288	4577	153813
289	4594	153828
290	4610	153816
291	4626	153819
292	4643	153837
293	4660	153845
294	4676	153843
295	4692	153826
296	4708	153817
297	4724	153822
298	4739	153780
299	4755	153758
300	4772	153790
301	4789	153802
302	4805	153785
303	4821	153793
304	4837	153780
305	4856	153838
306	4872	153850
307	4888	153840
308	4903	153784
309	4919	153775
310	4935	153777
311	4953	153800
312	4969	153795
313	4987	153839
314	5003	153828
315	5019	153821
316	5035	153810
317	5051	153814
318	5080	154182
319	5095	154152
320	5112	154161
321	5129	154183
322	5147	154205
323	5164	154225
324	5180	154229
325	5196	154199
326	5210	154146
327	5226	154129
328	5243	154142
329	5260	154156
330	5277	154160
331	5293	154162
332	5309	154120
333	5324	154103
334	5340	154085
335	5356	154065
336	5372	154045
337	5386	153977
338	5401	153939
339	5418	153947
340	5436	153981
341	5452	153966
342	5468	153956
343	5484	153961
344	5499	153912
345	5516	153932
346	5532	153910
347	5547	153876
348	5564	153887
349	5582	153918
350	5597	153888
351	5611	153806
352	5625	153746
353	5641	153729
354	5657	153714
355	5672	153663
356	5686	153594
357	5701	153570
358	5718	153571
359	5735	153577
360	5752	153587
361	5769	153607
362	5786	153627
363	5815	153946
364	5832	153966
365	5849	153985
366	5865	153962
367	5882	153978
368	5900	154011
369	5917	154026
370	5936	154066
371	5953	154078
372	5970	154106
373	5987	154104
374	6004	154106
375	6020	154096
376	6037	154096
377	6053	154091
378	6069	154071
379	6085	154046
380	6100	154023
381	6116	154002
382	6131	153950
383	6146	153919
384	6163	153915
385	6180	153928
386	6195	153907
387	6212	153906
388	6228	153883
389	6246	153924
390	6263	153923
391	6279	153910
392	6295	153903
393	6312	153911
394	6329	153914
395	6344	153880
396	6360	153852
397	6377	153850
398	6393	153835
399	6409	153827
400	6426	153835
401	6444	153874
402	6462	153888
403	6479	153903
404	6496	153904
405	6514	153940
406	6531	153943
407	6547	153934
408	6564	153934
409	6580	153914
410	6594	153865
411	6610	153839
412	6627	153856
413	6645	153871
414	6661	153867
415	6679	153882
416	6696	153887
417	6713	153902
418	6730	153907
419	6746	153883
420	6762	153871
421	6779	153874
422	6796	153883
423	6813	153875
424	6829	153857
425	6844	153828
426	6861	153822
427	6878	153832
428	6895	153834
429	6912	153842
430	6930	153875
431	6946	153859
432	6962	153837
433	6978	153820
434	6995	153810
435	7011	153806
436	7028	153808
437	7045	153808
438	7062	153805
439	7079	153808
440	7094	153783
441	7110	153760
442	7127	153754
443	7142	153728
444	7158	153706
445	7175	153719
446	7192	153712
447	7208	153687
448	7223	153649
449	7240	153655
450	7258	153676
451	7274	153664
452	7290	153652
453	7306	153639
454	7322	153619
455	7339	153604
456	7355	153586
457	7372	153601
458	7389	153604
459	7405	153582
460	7420	153547
461	7437	153547
462	7453	153528
463	7469	153508
464	7485	153489
465	7520	153862
466	7536	153844
467	7551	153809
468	7568	153798
469	7584	153787
470	7599	153748
471	7614	153708
472	7630	153684
473	7644	153638
474	7661	153625
475	7676	153593
476	7692	153569
477	7708	153550
478	7724	153541
479	7741	153536
480	7758	153546
481	7776	153560
482	7793	153560
483	7810	153558
484	7827	153563
485	7844	153558
486	7860	153549
487	7875	153514
488	7891	153483
489	7906	153445
490	7924	153465
491	7940	153449
492	7955	153422
493	7973	153433
494	7990	153437
495	8008	153447
496	8025	153445
497	8042	153446
498	8058	153436
499	8074	153414
500	8089	153385
501	8106	153373
502	8123	153379
503	8140	153383
504	8158	153388
505	8174	153381
506	8190	153351
507	8205	153329
508	8223	153337
509	8240	153346
510	8258	153349
511	8274	153337
512	8291	153327
513	8307	153319
514	8324	153322
515	8340	153302
516	8357	153293
517	8373	153283
518	8391	153285
519	8406	153259
520	8423	153258
521	8440	153253
522	8456	153243
523	8474	153257
524	8492	153265
525	8509	153261
526	8525	153246
527	8540	153218
528	8556	153188
529	8572	153172
530	8587	153133
531	8603	153124
532	8621	153125
533	8638	153124
534	8654	153113
535	8670	153089
536	8686	153081
537	8705	153106
538	8721	153090
539	8739	153094
540	8755	153082
541	8773	153098
542	8790	153101
543	8808	153105
544	8827	153139
545	8843	153125
546	8861	153133
547	8879	153160
548	8896	153152
549	8914	153170
550	8931	153159
551	8947	153137
552	8964	153137
553	8980	153122
554	8996	153108
555	9012	153081
556	9029	153087
557	9046	153079
558	9062	153060
559	9078	153045
560	9093	153005
561	9106	152934
562	9133	153090
563	9149	153072
564	9166	153066
565	9182	153054
566	9198	153028
567	9213	152991
568	9229	152974
569	9247	152984
570	9262	152951
571	9278	152932
572	9294	152916
573	9312	152921
574	9330	152935
575	9346	152925
576	9360	152863
577	9375	152835
578	9392	152834
579	9410	152833
580	9426	152821
581	9443	152818
582	9461	152835
583	9479	152841
584	9507	153016
585	9526	153034
586	9542	153027
587	9558	152993
588	9573	152969
589	9589	152945
590	9606	152935
591	9622	152922
592	9639	152917
593	9656	152917
594	9674	152928
595	9692	152935
596	9710	152951
597	9728	152961
598	9744	152941
599	9759	152900
600	9776	152887
601	9794	152901
602	9810	152878
603	9825	152849
604	9843	152857
605	9859	152842
606	9875	152812
607	9891	152795
608	9910	152823
609	9929	152848
610	9945	152823
611	9960	152795
612	9977	152791
613	9994	152781
614	10009	152751
615	10025	152728
616	10042	152719
617	10061	152749
618	10078	152744
